instance,ratio,k_mode,split_mode,converged,time,nodes,total_depth,depth_attempts,final_depth_iterations,total_iterations,m_states,Ff,Fb,min_frontier,max_frontier,min_over_m,max_over_m,geo_over_m,prod_over_m2,imbalance,iter0_fill_ratio,iter1_fill_ratio
3,0.01,k1,dynamic,True,5.631,170406303,56,8,3,15,36772.97777777778,621419,349722,349722,621419,9.510298625077352,16.898794646310336,12.677246684129392,160.71258349026968,1.776894218836676,0.196814,0.0286297
3,0.01,k1,fixed,True,13.1282,316594094,56,8,2,16,36772.97777777778,6760766,1695335,1695335,6760766,46.10273908860613,183.85146943649443,92.06550019680307,8476.056326487547,3.987864345394863,0.722898,0.299155
3,0.01,optk,dynamic,True,5.631,170406303,56,8,3,15,36772.97777777778,621419,349722,349722,621419,9.510298625077352,16.898794646310336,12.677246684129392,160.71258349026968,1.776894218836676,0.196814,0.0286297
3,0.01,optk,fixed,True,13.1282,316594094,56,8,2,16,36772.97777777778,6760766,1695335,1695335,6760766,46.10273908860613,183.85146943649443,92.06550019680307,8476.056326487547,3.987864345394863,0.722898,0.299155
3,0.1,k1,dynamic,True,8.3449,166454862,56,8,2,14,367001.6,621419,35222,35222,621419,0.09597233363560269,1.69323240007673,0.40311718497575394,0.16250346482277622,17.64292203736301,0.0217297,0.000310807
3,0.1,k1,fixed,True,8.59522,186738664,56,8,2,14,367001.6,6760766,282897,282897,6760766,0.7708331516810827,18.42162540980748,3.768288679723226,14.199999573730215,23.898330487774704,0.120688,0.00593403
3,0.1,optk,dynamic,True,8.20562,166454862,56,8,2,14,367001.6,621419,2694,2694,621419,0.007340567452566965,1.69323240007673,0.11148671062344197,0.01242928664563509,230.66778025241277,0.0429996,5.15892e-05
3,0.1,optk,fixed,True,8.5567,186738664,56,8,2,14,367001.6,6760766,120067,120067,6760766,0.32715661185128353,18.42162540980748,2.454945326044172,6.026756553866127,56.30827787818468,0.226734,0.00506216
3,0.5,k1,dynamic,True,8.58834,166454862,56,8,2,14,1835190.0444444444,621419,6831,6831,621419,0.0037222303056182425,0.3386128874669862,0.035502044329904656,0.0012603951516025156,90.97042892695066,0.00438541,1.22421e-05
3,0.5,k1,fixed,True,8.99612,186738664,56,8,2,14,1835190.0444444444,6760766,59652,59652,6760766,0.03250453552784942,3.683959609777986,0.34604247718913184,0.11974539601919085,113.33678669617113,0.0253853,0.000245993
3,0.5,optk,dynamic,True,7.87379,166454862,56,8,2,14,1835190.0444444444,621419,5,5,621419,2.7245134721257815e-06,0.3386128874669862,0.0009604974615995687,9.22555373739215e-07,124283.8,0.0471941,5.32794e-07
3,0.5,optk,fixed,True,8.97774,186738664,56,8,2,14,1835190.0444444444,6760766,11,11,6760766,5.993929638676719e-06,3.683959609777986,0.004699084452607357,2.208139469273619e-05,614615.0909090909,0.246361,7.99191e-07
4,0.01,k1,dynamic,True,8.18527,173995429,56,8,2,15,36772.97777777778,2146844,833111,833111,2146844,22.655521808284345,58.38102132967203,36.36828978553017,1322.6525019242981,2.576900317004577,0.38959,0.172558
4,0.01,k1,fixed,True,8.29672,174142515,56,8,2,15,36772.97777777778,2146844,834184,834184,2146844,22.68470084313119,58.38102132967203,36.39170240288397,1324.356003780071,2.5735856837340445,0.389459,0.172133
4,0.01,optk,dynamic,True,8.18527,173995429,56,8,2,15,36772.97777777778,2146844,833111,833111,2146844,22.655521808284345,58.38102132967203,36.36828978553017,1322.6525019242981,2.576900317004577,0.38959,0.172558
4,0.01,optk,fixed,True,8.29672,174142515,56,8,2,15,36772.97777777778,2146844,834184,834184,2146844,22.68470084313119,58.38102132967203,36.39170240288397,1324.356003780071,2.5735856837340445,0.389459,0.172133
4,0.1,k1,dynamic,True,5.83282,125173080,56,8,2,14,368093.86666666664,2146844,102338,102338,2146844,0.2780214756815653,5.832327551233309,1.2733861599892369,1.621512312452135,20.977974945767947,0.0480993,0.00232423
4,0.1,k1,fixed,True,6.01163,125320166,56,8,2,14,368093.86666666664,2146844,101586,101586,2146844,0.2759785185228116,5.832327551233309,1.2686989860203821,1.6095971171291463,21.133266394975685,0.0481046,0.00232875
4,0.1,optk,dynamic,True,5.22669,125173080,56,8,2,14,368093.86666666664,2146844,1021,1021,2146844,0.0027737490147440656,5.832327551233309,0.12719045875732213,0.01617741279889806,2102.6875612144954,0.21843,0.000123761
4,0.1,optk,fixed,True,5.42355,125320166,56,8,2,14,368093.86666666664,2146844,1003,1003,2146844,0.002724848444454748,5.832327551233309,0.12606430365305102,0.015892208655528654,2140.4227318045864,0.218524,0.000131005
4,0.5,k1,dynamic,True,6.04781,125173080,56,8,2,14,1840469.3333333333,2146844,20406,20406,2146844,0.011087389303597924,1.1664655102466617,0.11372360010712258,0.01293305722132473,105.20650788983632,0.00980826,9.71008e-05
4,0.5,k1,fixed,True,6.04519,125320166,56,8,2,14,1840469.3333333333,2146844,21034,21034,2146844,0.011428606616283383,1.1664655102466617,0.11546027649400192,0.013331075448071371,102.06541789483693,0.0098096,9.52535e-05
