55,68,2025965,766540,403023
55,69,2984007,1089966,459336
55,70,2025241,766940,403193
55,71,2987806,1090501,459407
55,72,2027303,767635,403861
55,73,2995318,1092811,459596
55,74,2027864,768207,403754
55,75,2992657,1092837,460080
55,76,2032988,768946,403967
42,0,0,0,0
42,1,0,0,0
44,0,0,0,0
44,1,0,0,0
46,0,64,53,53
46,1,0,0,0
48,0,1539,1092,1092
48,1,0,0,0
50,0,19506,12094,12077
50,1,17,12,12
52,0,165229,83748,82682
52,1,1440,750,750
54,0,1150470,462040,431220
54,1,53857,23019,22946
56,0,6760766,2123499,1563016
56,1,1116278,387934,365826
42,0,0,0,0
42,1,0,0,0
44,0,0,0,0
44,1,0,0,0
46,0,64,53,53
46,1,0,0,0
48,0,1539,1092,1092
48,1,3,3,3
50,0,19506,12094,11975
50,1,134,85,85
52,0,165229,83748,78610
52,1,7166,3780,3717
54,0,1150470,462040,331472
54,1,205872,88225,82533
56,0,6760766,2123499,629828
56,1,2251193,781787,456294
56,2,4715620,1477979,586436
56,3,2095725,728026,429629
56,4,4580506,1436984,582216
56,5,2082421,722774,438024
56,6,4518336,1419786,580425
56,7,2071928,720653,436981
56,8,4504026,1415120,580110
56,9,2073091,719966,436816
56,10,4508464,1414674,579981
56,11,2073417,720180,437149
56,12,4514168,1416455,579776
56,13,2070404,719807,437206
56,14,4509687,1416147,580073
56,15,2072702,720094,436015
56,16,4498996,1411997,579283
56,17,2068994,719049,436293
56,18,4503756,1412993,482992
56,19,2102616,730519,440468
56,20,4548817,1426938,580742
56,21,2074586,721170,437194
56,22,4513470,1416645,579801
56,23,2072471,719792,436760
56,24,4508629,1415207,579657
56,25,2072845,719589,436389
56,26,4498748,1414173,579821
56,27,2072834,719867,426338
56,28,4549348,1428782,581311
56,29,2074214,721635,437687
56,30,4517354,1417518,580451
56,31,2071972,720486,414531
56,32,4604740,1447357,583510
56,33,2082150,724102,438376
56,34,4524072,1420963,580461
56,35,2073236,720605,436599
56,36,4510775,1414004,579347
56,37,2069524,719464,437011
56,38,4511577,1417151,579919
56,39,2071797,719898,436782
56,40,4507904,1415359,579703
56,41,2070906,719321,436644
56,42,4507880,1415146,512748
56,43,2093592,727285,439585
56,44,4533863,1424836,581001
56,45,2073954,720994,437187
56,46,4513262,1416644,580106
56,47,2071113,720534,436888
56,48,4504869,1414459,579816
56,49,2070882,719808,436873
56,50,4505365,1415471,579910
56,51,2073025,719804,436637
56,52,4506776,1413880,579592
56,53,2068662,719170,436779
56,54,4505883,1415692,448674
56,55,2129688,740431,443388
56,56,4578309,1436319,582016
56,57,2078421,722251,437712
